elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response
How can I help you?,i've also started quilting,1005b611-2aab-41c7-b493-042c96eb21fa,"  memory_name entity     value
0    activity   type   hobbies
1    activity   name  quilting",['quilting'],1,Match,0.9582951068878174,"Information Items:
memory_name: activity, entity: type, value: crafting.
memory_name: activity, entity: name, value: quilting."
How can I help you?,i went to the concert,100d5999-8f60-46fa-9af8-7d75d20f5eb3,"  memory_name entity    value
1       place   name  concert",['concert'],1,Match,0.9766850471496582,"Information Items:
memory_name: activity, entity: type, value: entertainment.
memory_name: activity, entity: name, value: concert."
Did you say something?,i'm taking the dog for a walk,10139219-c031-43a6-b344-43a059caf732,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9871898293495178,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: walking.
memory_name: possession, entity: type, value: pet.
memory_name: possession, entity: name, value: dog."
Which day is that for?,we can say like it's going to be for tuesday,104569d2-7808-42d4-8088-35be50dc5f0d,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.8244602680206299,"Information Items:
memory_name: day, entity: name, value: Tuesday."
Do you have any plans for today?,who go grocery shopping maybe catch up on a few things,106c506a-8640-47ac-91c2-2acbb5c73755,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.635948657989502,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: grocery shopping.
memory_name: activity, entity: type, value: catch up.
memory_name: activity, entity: name, value: few things."
Where are you off to?,church,106df312-5f0c-4654-8d14-faa357260b2d,"  memory_name entity   value
1       place   name  church",['church'],1,Match,0.981425166130066,"Information Items:
memory_name: place, entity: name, value: church."
"Great, what are your plans?",doctors office,107f082f-3c8d-4bfc-96a5-b0e3e557e782,"  memory_name entity     value
1    activity   type  activity
2    activity   name    doctor",['doctor'],1,Match,0.8756729364395142,"Information Items:
memory_name: place, entity: name, value: doctor's office."
I've got a tricky trivia question for you. Wanna try your luck?,news on television,1090dcba-c1c8-4490-b847-c22710688aae,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.774681806564331,"Information Items:
memory_name: activity, entity: name, value: watching tv."
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",explorer,10a0c5ee-b3d4-47fd-921a-cce2a5ff2832,"  memory_name entity        value
0    activity   type      hobbies
1    activity   name  exploration",['exploration'],1,Match,0.662241518497467,"Information Items:
memory_name: activity, entity: type, value: exploration."
"I'm sorry, I didn't understand your request. Please select a station name that is displayed on my screen. Which one would you like to hear?",beauty shop appointment at 1,10cbf385-23f8-414d-8c5e-a7dbd7b8caa0,"  memory_name entity            value
1    activity   type         activity
2    activity   name  haircut,meeting","['haircut,meeting']",1,Match,0.6111757755279541,"Information Items:
memory_name: activity, entity: type, value: appointment.
memory_name: activity, entity: name, value: beauty shop.
memory_name: time, entity: hour, value: 1."
How can I help you?,goodbye i'm going to play bingo now,10cc1fe8-1a44-45a7-800a-ddcc4d44f041,"  memory_name entity       value
1    activity   type    activity
2    activity   name  play,bingo","['play,bingo']",1,Match,0.9787136912345886,"Information Items:
memory_name: activity, entity: type, value: game.
memory_name: activity, entity: name, value: bingo."
Wanna spend some time together?,not right now i have to go to my appointment,10d931c9-ef13-4e77-8df4-3d64b621114f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9952349066734314,"Information Items:
memory_name: activity, entity: type, value: appointment."
How can I help you?,we're going to the doctor now,1103e81d-6e62-4f6d-a265-89b0becc165a,"  memory_name entity     value
1    activity   type  activity
2    activity   name    doctor",['doctor'],1,Match,0.9405301213264464,"Information Items:
memory_name: place, entity: name, value: doctor."
Is there anything special planned for tomorrow?,i go to the dentist tomorrow to get up at 1 to get a tooth repaired,1109d092-9da4-4730-9a5a-6c0d1ede2e95,"  memory_name entity     value
1    activity   type  activity
2    activity   name   dentist",['dentist'],1,Match,0.9549130797386168,"Information Items:
memory_name: place, entity: name, value: dentist.
memory_name: activity, entity: type, value: appointment.
memory_name: activity, entity: name, value: tooth repair.
memory_name: time, entity: hour, value: 1."
"By the way, I have an activity for us to do together.  Would you like to do 30 seconds of gentle breathing that can relax our mind and body?",i'm running a fish,114bed40-15fa-4d05-a2e2-2bf1c6667755,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.7422245740890503,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: running a fish."
Is there something else you’d like to do?,i'm just watching a tennis match on t.v.,115505ce-c6c0-45cb-8bcd-2ca71de1c086,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9755714535713196,"Information Items:
memory_name: activity, entity: name, value: watching tv.
memory_name: activity, entity: type, value: sports.
memory_name: activity, entity: details, value: tennis match."
When will you be back home? I want to make sure to be here.,will be back in 20 minutes,11567bcf-cc6b-4709-8587-57f3b1e11be9,"  memory_name  entity value
1       place  people  Will",['Will'],1,Match,0.9727767705917358,"Information Items:
memory_name: activity, entity: type, value: returning home.
memory_name: activity, entity: duration, value: 20 minutes."
How can I help you?,i love paint,1174499a-7c19-4806-9ba6-3b88cd593c72,"  memory_name entity     value
0    activity   type   hobbies
1    activity   name  painting",['painting'],1,Match,0.9606180787086488,"Information Items:
memory_name: activity, entity: type, value: hobby.
memory_name: activity, entity: name, value: painting."
How can I help you?,i'm sorry yeah we're getting ready to take our walk now,1183f4e2-638a-4dc1-a7d9-332056f21b6f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.8694072365760803,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: walking."
