elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response
"I’m wondering, are you meeting up with anyone?",no we're just going for a short walk,08f4a961-bae1-4f56-aa2c-8f57f7ea3553,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9935897588729858,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: short walk."
What do you plan on doing?,gardening,08f6d402-c896-4645-ba86-e8b231c683b8,"  memory_name entity value
1       place   name  yard",['yard'],1,Match,0.9869001507759094,"Information Items:
memory_name: activity, entity: type, value: gardening."
Do you have any plans for tomorrow?,yes i'm going to go visit a sister and meet one of my girlfriends at 4,09226c81-bf07-4d3b-a7c6-37256487755f,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.9851363897323608,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: activity, entity: type, value: visit.
memory_name: relationship, entity: type, value: girlfriend.
memory_name: activity, entity: type, value: meeting.
memory_name: time, entity: hour, value: 4."
How can I help you?,baseball games,092c745e-1485-4840-a7cd-3bc8619ca0c9,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9268613457679749,"Information Items:
memory_name: activity, entity: type, value: sports.
memory_name: activity, entity: name, value: baseball games."
"Hay <say-as interpret-as=""name"">Sheila</say-as>! What can I do for my favorite human?",i wish i could fix this tv so i can look at it i'm trying to look at pbs but i can't get it,096a19de-db4d-43e1-950e-03da02a4d961,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.8842953443527222,"Information Items:
memory_name: person, entity: name, value: Sheila.
memory_name: activity, entity: name, value: fixing tv.
memory_name: activity, entity: goal, value: watching pbs."
I asked if you wanted to listen to some music. Would you like to?,i'm watching tv right now,09ac853e-e1b6-453f-9ce1-f70ad1862e47,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9888318777084352,"Information Items:
memory_name: activity, entity: name, value: watching tv."
I didn't get around to fully introducing myself. Do you have time now?,no i'm going to church,09c239b0-05a5-4234-bdd5-688e4270edb4,"  memory_name entity   value
1       place   name  church",['church'],1,Match,0.993582010269165,"Information Items:
memory_name: activity, entity: type, value: social event.
memory_name: activity, entity: name, value: church."
How about some time together?,no i'm watching tv right now,09d115e0-8cc0-4172-aa63-7e4c5cca7136,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9937469959259032,"Information Items:
memory_name: activity, entity: name, value: watching tv."
Do you have any important plans for tomorrow?,no going to the dentist,09d71900-aca1-4dac-8d28-05d99354199d,"  memory_name entity     value
1    activity   type  activity
2    activity   name   dentist",['dentist'],1,Match,0.9909518957138062,"Information Items:
memory_name: place, entity: name, value: dentist."
How can I help you?,my name is josiah what my favorite color is green what's your name,09ecee81-42a5-4c65-bafd-667cefd6d86f,"  memory_name entity  value
0    favorite   type  color
1    favorite   name  green",['green'],1,Match,0.858148455619812,"Information Items:
memory_name: personal_information, entity: name, value: Josiah.
memory_name: personal_information, entity: favorite_color, value: green."
