elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response
"I'm not sure I understood, do you want to call someone?",call my daughter,183cb470-a701-413b-8f1e-66e5760779f6,"    memory_name entity     value
0  relationship   type  daughter",['daughter'],1,Match,0.8533921837806702,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: activity, entity: type, value: communication.
memory_name: activity, entity: name, value: call daughter."
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i did some errands with some supplies and,186c537f-6796-4246-99f4-2d38c7cea999,"  memory_name entity     value
1    activity   type  activity
2    activity   name   errands",['errands'],1,Match,0.9711619019508362,"Information Items:
memory_name: activity, entity: type, value: errands.
memory_name: activity, entity: name, value: supplies."
How can I help you?,i also watch tv,18833ad1-296b-4ba4-97bb-d6b71a46e17a,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9759629964828492,"Information Items:
memory_name: activity, entity: name, value: watching tv."
Do you have any plans for today?,to go to my daughters,18889536-1140-4224-96fd-6dca759e4e63,"    memory_name  entity      value
0  relationship    type  daughters
2         place  people  daughters",['daughters'],1,Match,0.7645960450172424,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: activity, entity: type, value: visit.
memory_name: activity, entity: name, value: visiting daughter."
"Just out of curiosity, What was the one thing that made you happy this week?",i did shopping with my daughter,189fd9c3-a261-4399-b7f5-dfa08d8fbe47,"    memory_name entity     value
1      activity   type  activity
2      activity   name  shopping
3  relationship   type  daughter","['shopping', 'daughter']",2,Match,0.9598774313926696,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: shopping with daughter."
How can I help you?,did you hear me when i'm getting ready to go to the doctors,18a549b9-622c-4047-b184-4e4fe3e76567,"  memory_name entity     value
1    activity   type  activity
2    activity   name    doctor",['doctor'],1,Match,0.8960849642753601,"Information Items:
memory_name: activity, entity: type, value: medical appointment.
memory_name: place, entity: name, value: doctors."
"excuse me <say-as interpret-as=""name"">Magdalena</say-as>, are you ready now by any chance?",nope i'm getting dressed to leave the house i'm going shopping,18b06ed3-41ef-449e-8d06-3ee47d2a85ad,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.992554485797882,"Information Items:
memory_name: activity, entity: type, value: getting dressed.
memory_name: activity, entity: name, value: leaving the house.
memory_name: activity, entity: type, value: shopping."
Where are you off to?,the hospital just to visit my sister,18d91f7f-9032-4c89-9560-9d37d6bf1881,"    memory_name  entity     value
0  relationship    type    sister
2         place  people    sister
3         place    name  hospital","['sister', 'hospital']",2,Match,0.9800875782966614,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: place, entity: name, value: hospital.
memory_name: activity, entity: type, value: visit."
"Just out of curiosity, are you planning on meeting someone?",yes i'm going to dinner,18dc6933-4d41-416f-9b83-d3ce734d0f89,"  memory_name entity   value
1       place   name  dinner
2    activity   type    meal
3    activity   name  dinner",['dinner'],1,Match,0.9947657585144044,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: dinner."
Do you have anything special planned for today?,i talked to go to the grocery store,18e2faa2-6c13-4c7e-a461-ead1c1919da0,"  memory_name entity          value
1       place   name  grocery store",['grocery store'],1,Match,0.9700902700424194,"Information Items:
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: going to the grocery store."
"Brian May was the guitarist for which band?. Queen, Pink Floyd, or Rolling Stones",rose tree,1929b9aa-c378-471b-b144-5b17ba827c5a,"  memory_name entity   value
0    favorite   type  flower
1    favorite   name    Rose",['Rose'],1,Match,0.9095916748046876,"Information Items:
memory_name: person, entity: name, value: Brian May.
memory_name: occupation, entity: type, value: guitarist.
memory_name: band, entity: name, value: Queen.
memory_name: band, entity: name, value: Pink Floyd.
memory_name: band, entity: name, value: Rolling Stones.
memory_name: client_response, entity: value, value: rose tree."
What did you end up doing out there?,you breakfast,192f02f3-9ecc-4bfc-9cef-ba08cee21b26,"  memory_name entity      value
1       place   name  breakfast
2    activity   type       meal
3    activity   name  breakfast",['breakfast'],1,Match,0.9528800249099731,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: breakfast."
let's give it another go. What did you say?,i'm going to take my dog out to the bathroom,193794cf-8174-4027-a1d2-2d83a6fbae75,"  memory_name  entity value
1       place  people   dog",['dog'],1,Match,0.973831832408905,"Information Items:
memory_name: pet, entity: type, value: dog.
memory_name: activity, entity: type, value: pet care.
memory_name: activity, entity: name, value: taking dog out to the bathroom."
How can I help you?,my day is going great and i'm going to take my dog for a walk,193dbb45-340d-4d08-a6b8-209fbef29108,"  memory_name  entity     value
1    activity    type  activity
2    activity    name   walking
3       place  people       dog","['walking', 'dog']",2,Match,0.9777596592903136,"Information Items:
memory_name: mood, entity: type, value: positive.
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: walking dog.
memory_name: pet, entity: type, value: dog."
Wish I could join you. Are you meeting up with anyone?,i'm going to a doctor's appointment,196606ef-f5d1-4ca5-a1fc-f79d4cb23591,"  memory_name entity           value
1    activity   type        activity
2    activity   name  doctor,meeting","['doctor,meeting']",1,Match,0.9842011332511902,"Information Items:
memory_name: place, entity: name, value: doctor's appointment."
"Great, what are your plans?",do some reading,198bb4af-6419-458b-9908-aa00fe2748e8,"  memory_name entity    value
0    activity   type  hobbies
1    activity   name  reading",['reading'],1,Match,0.9737188220024108,"Information Items:
memory_name: activity, entity: type, value: intellectual activity.
memory_name: activity, entity: name, value: reading."
"Oh, here's an idea! Wanna take a picture with me here in rome?",not right now thanks not right now i'm going to go to church,199a75eb-3728-497e-bd9e-a3a261310766,"  memory_name entity   value
1       place   name  church",['church'],1,Match,0.9951995611190796,"Information Items:
memory_name: place, entity: name, value: Rome.
memory_name: activity, entity: type, value: religious activity.
memory_name: activity, entity: name, value: going to church."
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",can i go out to eat,19a781ce-4aff-43db-9b97-3ace752cc161,"  memory_name entity     value
1    activity   type  activity
2    activity   name       eat",['eat'],1,Match,0.9594576358795166,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: eating out."
"How old was Muhammad Ali when he died?. 61, He's still alive, or 74",go to the park,19a78cfa-2261-4160-94dc-13bf17d26d87,"  memory_name entity value
1       place   name  park",['park'],1,Match,0.9663904309272766,"Information Items:
memory_name: activity, entity: type, value: outdoor activity.
memory_name: activity, entity: name, value: going to the park."
How can I help you?,can i talk to you this evening when i come home from the doctor or tonight,19b54933-a861-40e4-a24e-1d68fc8ceeb1,"  memory_name entity     value
1    activity   type  activity
2    activity   name    doctor",['doctor'],1,Match,0.8524531722068787,"Information Items:
memory_name: place, entity: name, value: doctor.
memory_name: activity, entity: type, value: conversation.
memory_name: time, entity: time_of_day, value: evening.
memory_name: time, entity: time_of_day, value: tonight."
What movie did you watch?,no i went for a walk in the park,19b96301-7d19-48ee-8fde-61bc4bfd0135,"  memory_name entity              value
0    activity   type  physical_activity
1    activity   name            walking",['walking'],1,Match,0.9914699196815492,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: walk.
memory_name: place, entity: name, value: park."
let's try again. could you repeat what you said?,i'm watching the tv for the news i'll talk to you later,19bd73e7-5f89-4e8e-8b0a-70fdd4afd118,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.968197226524353,"Information Items:
memory_name: activity, entity: name, value: watching tv.
memory_name: activity, entity: type, value: news."
How about we hang out for a bit?,no i'm watching the race,19bf26a6-863e-4706-a304-d13e4dd85177,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9907342195510864,"Information Items:
memory_name: activity, entity: name, value: watching the race."
What was it like?,it was fun i would bring my dog with me while i delivered papers and we had a beautiful neighborhood,19cd91d4-3dcc-410b-a0c8-2b9e7323dded,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.913733720779419,"Information Items:
memory_name: activity, entity: type, value: pastime.
memory_name: activity, entity: name, value: delivering papers.
memory_name: pet, entity: type, value: dog.
memory_name: place, entity: type, value: neighborhood.
memory_name: emotion, entity: type, value: positive."
Can I interest you in the latest news headlines?,you're watching local 5 news we are iowa,19de877c-efd8-43a9-a242-3cdd46d54dcd,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.7221370339393616,"Information Items:
memory_name: activity, entity: name, value: watching local 5 news."
