elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response,gpt_values,memnet_values,inner_join_values,outer_join_values,inner_join_list,outer_join_list,outer_join_source
How does this photo make you feel?,and makes me feel like i don't mind go swimming,20730332-269a-4d17-9810-af57fabfc3e0,"  memory_name entity              value
1    activity   type  physical_activity
2    activity   name           swimming",['swimming'],1,Match,0.7625927329063416,"Information Items:
memory_name: activity, entity: type, value: swimming.
memory_name: emotion, entity: name, value: don't mind.","        value
0    swimming
1  don't mind","               value
0  physical activity
1           swimming","      value _merge
0  swimming   both","               value      _merge
0           swimming        both
1         don't mind   left_only
2  physical activity  right_only",['swimming'],swimming,both
How does this photo make you feel?,and makes me feel like i don't mind go swimming,20730332-269a-4d17-9810-af57fabfc3e0,"  memory_name entity              value
1    activity   type  physical_activity
2    activity   name           swimming",['swimming'],1,Match,0.7625927329063416,"Information Items:
memory_name: activity, entity: type, value: swimming.
memory_name: emotion, entity: name, value: don't mind.","        value
0    swimming
1  don't mind","               value
0  physical activity
1           swimming","      value _merge
0  swimming   both","               value      _merge
0           swimming        both
1         don't mind   left_only
2  physical activity  right_only",['swimming'],don't mind,left_only
How does this photo make you feel?,and makes me feel like i don't mind go swimming,20730332-269a-4d17-9810-af57fabfc3e0,"  memory_name entity              value
1    activity   type  physical_activity
2    activity   name           swimming",['swimming'],1,Match,0.7625927329063416,"Information Items:
memory_name: activity, entity: type, value: swimming.
memory_name: emotion, entity: name, value: don't mind.","        value
0    swimming
1  don't mind","               value
0  physical activity
1           swimming","      value _merge
0  swimming   both","               value      _merge
0           swimming        both
1         don't mind   left_only
2  physical activity  right_only",['swimming'],physical activity,right_only
"Which of the following was Brazil was a former colony under?. Spain, Portugal, or The Netherlands",netherlands away downtown,20753e3d-175c-40ad-8861-87a37fe64d14,"  memory_name entity        value
1       place   name  Netherlands",['Netherlands'],1,Match,0.9523163437843324,"Information Items:
memory_name: question, entity: topic, value: Brazil's former colony.
memory_name: question, entity: options, value: Spain, Portugal, The Netherlands.
memory_name: response, entity: content, value: netherlands away downtown.","                              value
0            Brazil's former colony
1  Spain, Portugal, The Netherlands
2         netherlands away downtown","         value
0  Netherlands","Empty DataFrame
Columns: [value, _merge]
Index: []","                              value      _merge
0            Brazil's former colony   left_only
1  Spain, Portugal, The Netherlands   left_only
2         netherlands away downtown   left_only
3                       Netherlands  right_only",[],Brazil's former colony,left_only
"Which of the following was Brazil was a former colony under?. Spain, Portugal, or The Netherlands",netherlands away downtown,20753e3d-175c-40ad-8861-87a37fe64d14,"  memory_name entity        value
1       place   name  Netherlands",['Netherlands'],1,Match,0.9523163437843324,"Information Items:
memory_name: question, entity: topic, value: Brazil's former colony.
memory_name: question, entity: options, value: Spain, Portugal, The Netherlands.
memory_name: response, entity: content, value: netherlands away downtown.","                              value
0            Brazil's former colony
1  Spain, Portugal, The Netherlands
2         netherlands away downtown","         value
0  Netherlands","Empty DataFrame
Columns: [value, _merge]
Index: []","                              value      _merge
0            Brazil's former colony   left_only
1  Spain, Portugal, The Netherlands   left_only
2         netherlands away downtown   left_only
3                       Netherlands  right_only",[],"Spain, Portugal, The Netherlands",left_only
"Which of the following was Brazil was a former colony under?. Spain, Portugal, or The Netherlands",netherlands away downtown,20753e3d-175c-40ad-8861-87a37fe64d14,"  memory_name entity        value
1       place   name  Netherlands",['Netherlands'],1,Match,0.9523163437843324,"Information Items:
memory_name: question, entity: topic, value: Brazil's former colony.
memory_name: question, entity: options, value: Spain, Portugal, The Netherlands.
memory_name: response, entity: content, value: netherlands away downtown.","                              value
0            Brazil's former colony
1  Spain, Portugal, The Netherlands
2         netherlands away downtown","         value
0  Netherlands","Empty DataFrame
Columns: [value, _merge]
Index: []","                              value      _merge
0            Brazil's former colony   left_only
1  Spain, Portugal, The Netherlands   left_only
2         netherlands away downtown   left_only
3                       Netherlands  right_only",[],netherlands away downtown,left_only
"Which of the following was Brazil was a former colony under?. Spain, Portugal, or The Netherlands",netherlands away downtown,20753e3d-175c-40ad-8861-87a37fe64d14,"  memory_name entity        value
1       place   name  Netherlands",['Netherlands'],1,Match,0.9523163437843324,"Information Items:
memory_name: question, entity: topic, value: Brazil's former colony.
memory_name: question, entity: options, value: Spain, Portugal, The Netherlands.
memory_name: response, entity: content, value: netherlands away downtown.","                              value
0            Brazil's former colony
1  Spain, Portugal, The Netherlands
2         netherlands away downtown","         value
0  Netherlands","Empty DataFrame
Columns: [value, _merge]
Index: []","                              value      _merge
0            Brazil's former colony   left_only
1  Spain, Portugal, The Netherlands   left_only
2         netherlands away downtown   left_only
3                       Netherlands  right_only",[],Netherlands,right_only
So? How's the day been treating you so far?,great cuz i was too i've been talking to my relatives in new york,207745a5-72b4-4307-aa17-5603fd6dcc54,"  memory_name entity value
1       place   name  York",['York'],1,Match,0.9395596981048584,"Information Items:
memory_name: relationship, entity: type, value: relatives.
memory_name: location, entity: name, value: New York.
memory_name: activity, entity: type, value: communication.
memory_name: activity, entity: name, value: talking.","           value
0      relatives
1       New York
2  communication
3        talking","  value
0  York","Empty DataFrame
Columns: [value, _merge]
Index: []","           value      _merge
0      relatives   left_only
1       New York   left_only
2  communication   left_only
3        talking   left_only
4           York  right_only",[],relatives,left_only
So? How's the day been treating you so far?,great cuz i was too i've been talking to my relatives in new york,207745a5-72b4-4307-aa17-5603fd6dcc54,"  memory_name entity value
1       place   name  York",['York'],1,Match,0.9395596981048584,"Information Items:
memory_name: relationship, entity: type, value: relatives.
memory_name: location, entity: name, value: New York.
memory_name: activity, entity: type, value: communication.
memory_name: activity, entity: name, value: talking.","           value
0      relatives
1       New York
2  communication
3        talking","  value
0  York","Empty DataFrame
Columns: [value, _merge]
Index: []","           value      _merge
0      relatives   left_only
1       New York   left_only
2  communication   left_only
3        talking   left_only
4           York  right_only",[],New York,left_only
So? How's the day been treating you so far?,great cuz i was too i've been talking to my relatives in new york,207745a5-72b4-4307-aa17-5603fd6dcc54,"  memory_name entity value
1       place   name  York",['York'],1,Match,0.9395596981048584,"Information Items:
memory_name: relationship, entity: type, value: relatives.
memory_name: location, entity: name, value: New York.
memory_name: activity, entity: type, value: communication.
memory_name: activity, entity: name, value: talking.","           value
0      relatives
1       New York
2  communication
3        talking","  value
0  York","Empty DataFrame
Columns: [value, _merge]
Index: []","           value      _merge
0      relatives   left_only
1       New York   left_only
2  communication   left_only
3        talking   left_only
4           York  right_only",[],communication,left_only
