elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response,gpt_values,memnet_values,inner_join_values,outer_join_values,inner_join_list,outer_join_list,outer_join_source
How can I help you?,i've also started quilting,1005b611-2aab-41c7-b493-042c96eb21fa,"  memory_name entity     value
0    activity   type   hobbies
1    activity   name  quilting",['quilting'],1,Match,0.9582951068878174,"Information Items:
memory_name: activity, entity: type, value: crafting.
memory_name: activity, entity: name, value: quilting.","      value
0  crafting
1  quilting","      value
0   hobbies
1  quilting","      value _merge
0  quilting   both","      value      _merge
0  crafting   left_only
1  quilting        both
2   hobbies  right_only",['quilting'],crafting,left_only
How can I help you?,i've also started quilting,1005b611-2aab-41c7-b493-042c96eb21fa,"  memory_name entity     value
0    activity   type   hobbies
1    activity   name  quilting",['quilting'],1,Match,0.9582951068878174,"Information Items:
memory_name: activity, entity: type, value: crafting.
memory_name: activity, entity: name, value: quilting.","      value
0  crafting
1  quilting","      value
0   hobbies
1  quilting","      value _merge
0  quilting   both","      value      _merge
0  crafting   left_only
1  quilting        both
2   hobbies  right_only",['quilting'],quilting,both
How can I help you?,i've also started quilting,1005b611-2aab-41c7-b493-042c96eb21fa,"  memory_name entity     value
0    activity   type   hobbies
1    activity   name  quilting",['quilting'],1,Match,0.9582951068878174,"Information Items:
memory_name: activity, entity: type, value: crafting.
memory_name: activity, entity: name, value: quilting.","      value
0  crafting
1  quilting","      value
0   hobbies
1  quilting","      value _merge
0  quilting   both","      value      _merge
0  crafting   left_only
1  quilting        both
2   hobbies  right_only",['quilting'],hobbies,right_only
How can I help you?,i went to the concert,100d5999-8f60-46fa-9af8-7d75d20f5eb3,"  memory_name entity    value
1       place   name  concert",['concert'],1,Match,0.9766850471496582,"Information Items:
memory_name: activity, entity: type, value: entertainment.
memory_name: activity, entity: name, value: concert.","           value
0  entertainment
1        concert","     value
0  concert","     value _merge
0  concert   both","           value     _merge
0  entertainment  left_only
1        concert       both",['concert'],entertainment,left_only
How can I help you?,i went to the concert,100d5999-8f60-46fa-9af8-7d75d20f5eb3,"  memory_name entity    value
1       place   name  concert",['concert'],1,Match,0.9766850471496582,"Information Items:
memory_name: activity, entity: type, value: entertainment.
memory_name: activity, entity: name, value: concert.","           value
0  entertainment
1        concert","     value
0  concert","     value _merge
0  concert   both","           value     _merge
0  entertainment  left_only
1        concert       both",['concert'],concert,both
Did you say something?,i'm taking the dog for a walk,10139219-c031-43a6-b344-43a059caf732,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9871898293495178,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: walking.
memory_name: possession, entity: type, value: pet.
memory_name: possession, entity: name, value: dog.","               value
0  physical activity
1            walking
2                pet
3                dog","      value
0  activity
1   walking","     value _merge
0  walking   both","               value      _merge
0  physical activity   left_only
1            walking        both
2                pet   left_only
3                dog   left_only
4           activity  right_only",['walking'],physical activity,left_only
Did you say something?,i'm taking the dog for a walk,10139219-c031-43a6-b344-43a059caf732,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9871898293495178,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: walking.
memory_name: possession, entity: type, value: pet.
memory_name: possession, entity: name, value: dog.","               value
0  physical activity
1            walking
2                pet
3                dog","      value
0  activity
1   walking","     value _merge
0  walking   both","               value      _merge
0  physical activity   left_only
1            walking        both
2                pet   left_only
3                dog   left_only
4           activity  right_only",['walking'],walking,both
Did you say something?,i'm taking the dog for a walk,10139219-c031-43a6-b344-43a059caf732,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9871898293495178,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: walking.
memory_name: possession, entity: type, value: pet.
memory_name: possession, entity: name, value: dog.","               value
0  physical activity
1            walking
2                pet
3                dog","      value
0  activity
1   walking","     value _merge
0  walking   both","               value      _merge
0  physical activity   left_only
1            walking        both
2                pet   left_only
3                dog   left_only
4           activity  right_only",['walking'],pet,left_only
Did you say something?,i'm taking the dog for a walk,10139219-c031-43a6-b344-43a059caf732,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9871898293495178,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: walking.
memory_name: possession, entity: type, value: pet.
memory_name: possession, entity: name, value: dog.","               value
0  physical activity
1            walking
2                pet
3                dog","      value
0  activity
1   walking","     value _merge
0  walking   both","               value      _merge
0  physical activity   left_only
1            walking        both
2                pet   left_only
3                dog   left_only
4           activity  right_only",['walking'],dog,left_only
Did you say something?,i'm taking the dog for a walk,10139219-c031-43a6-b344-43a059caf732,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9871898293495178,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: walking.
memory_name: possession, entity: type, value: pet.
memory_name: possession, entity: name, value: dog.","               value
0  physical activity
1            walking
2                pet
3                dog","      value
0  activity
1   walking","     value _merge
0  walking   both","               value      _merge
0  physical activity   left_only
1            walking        both
2                pet   left_only
3                dog   left_only
4           activity  right_only",['walking'],activity,right_only
Which day is that for?,we can say like it's going to be for tuesday,104569d2-7808-42d4-8088-35be50dc5f0d,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.8244602680206299,"Information Items:
memory_name: day, entity: name, value: Tuesday.","     value
0  Tuesday","Empty DataFrame
Columns: [value]
Index: []","Empty DataFrame
Columns: [value, _merge]
Index: []","     value     _merge
0  Tuesday  left_only",[],Tuesday,left_only
Do you have any plans for today?,who go grocery shopping maybe catch up on a few things,106c506a-8640-47ac-91c2-2acbb5c73755,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.635948657989502,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: grocery shopping.
memory_name: activity, entity: type, value: catch up.
memory_name: activity, entity: name, value: few things.","              value
0          shopping
1  grocery shopping
2          catch up
3        few things","      value
0  activity
1  shopping","      value _merge
0  shopping   both","              value      _merge
0          shopping        both
1  grocery shopping   left_only
2          catch up   left_only
3        few things   left_only
4          activity  right_only",['shopping'],shopping,both
Do you have any plans for today?,who go grocery shopping maybe catch up on a few things,106c506a-8640-47ac-91c2-2acbb5c73755,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.635948657989502,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: grocery shopping.
memory_name: activity, entity: type, value: catch up.
memory_name: activity, entity: name, value: few things.","              value
0          shopping
1  grocery shopping
2          catch up
3        few things","      value
0  activity
1  shopping","      value _merge
0  shopping   both","              value      _merge
0          shopping        both
1  grocery shopping   left_only
2          catch up   left_only
3        few things   left_only
4          activity  right_only",['shopping'],grocery shopping,left_only
Do you have any plans for today?,who go grocery shopping maybe catch up on a few things,106c506a-8640-47ac-91c2-2acbb5c73755,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.635948657989502,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: grocery shopping.
memory_name: activity, entity: type, value: catch up.
memory_name: activity, entity: name, value: few things.","              value
0          shopping
1  grocery shopping
2          catch up
3        few things","      value
0  activity
1  shopping","      value _merge
0  shopping   both","              value      _merge
0          shopping        both
1  grocery shopping   left_only
2          catch up   left_only
3        few things   left_only
4          activity  right_only",['shopping'],catch up,left_only
